patois,francese,italiano,audio
an,an,anno,https://www.patoisvda.org/asset/0000052946.mp3
andzo,ange,angelo,https://www.patoisvda.org/asset/0000052950.mp3
angle,angle,angolo,https://www.patoisvda.org/asset/0000052952.mp3
angré,engrais,concime (fertilizzante),https://www.patoisvda.org/asset/0000055435.mp3
aniverséro,anniversaire,compleanno,https://www.patoisvda.org/asset/0000052958.mp3
ano,âne,asino,https://www.patoisvda.org/asset/0000052948.mp3
àouille,aiguille,ago,https://www.patoisvda.org/asset/0000052883.mp3
aoula,chaudron en fonte,paiolo,https://www.patoisvda.org/asset/0000054558.mp3
aoutón,automne,autunno,https://www.patoisvda.org/asset/0000053134.mp3
aouva,heure,ora,https://www.patoisvda.org/asset/0000055768.mp3
aouvré,ouvrier,operaio,https://www.patoisvda.org/asset/0000056781.mp3
aouzé,oiseau,uccello,https://www.patoisvda.org/asset/0000056656.mp3
appartemèn,appartement,appartamento,https://www.patoisvda.org/asset/0000052963.mp3
appeillà (appeillé),joint (joindre),unito (unire),https://www.patoisvda.org/asset/0000065739.mp3
appeillé,joindre,unire,https://www.patoisvda.org/asset/0000065737.mp3
aprestà (apresté),préparé (préparer),preparato (preparare),https://www.patoisvda.org/asset/0000065919.mp3
apresté,préparer,preparare,https://www.patoisvda.org/asset/0000065917.mp3
aqueduque,aqueduc,acquedotto,https://www.patoisvda.org/asset/0000053060.mp3
aragne,araignée,ragno,https://www.patoisvda.org/asset/0000053064.mp3
aràn,cuivre,rame,https://www.patoisvda.org/asset/0000054872.mp3
arba,aube,alba,https://www.patoisvda.org/asset/0000053128.mp3
arbeillà (arbeillé),habillé (habiller),vestito (vestire),https://www.patoisvda.org/asset/0000065721.mp3
arbeillé,habiller,vestire,https://www.patoisvda.org/asset/0000065719.mp3
arcanchiel,arc-en-ciel,arcobaleno,https://www.patoisvda.org/asset/0000053072.mp3
ardzèn,argent,argento,https://www.patoisvda.org/asset/0000053074.mp3
arma,arme,arma,https://www.patoisvda.org/asset/0000053086.mp3
armagnaye,abricot,albicocca,https://www.patoisvda.org/asset/0000052787.mp3
armagnì,abricotier,albicocco,https://www.patoisvda.org/asset/0000052800.mp3
armouére,armoire,armadio,https://www.patoisvda.org/asset/0000053090.mp3
arrendzà (arrendzé),réparé (réparer),riparato (riparare),https://www.patoisvda.org/asset/0000066007.mp3
arrendzé,réparer,riparare,https://www.patoisvda.org/asset/0000066005.mp3
arrevà (arrevé),arrivé (arriver),arrivato (arrivare),https://www.patoisvda.org/asset/0000065430.mp3
arrevé,arriver,arrivare,https://www.patoisvda.org/asset/0000065428.mp3
arrià (arrié),trait (traire),munto (mungere),https://www.patoisvda.org/asset/0000066144.mp3
arrié,traire,mungere,https://www.patoisvda.org/asset/0000066142.mp3
arrojaou,arrosoir,annaffiatoio,https://www.patoisvda.org/asset/0000053098.mp3
arrozadzo,irrigation,irrigazione,https://www.patoisvda.org/asset/0000055820.mp3
articllo,article,articolo,https://www.patoisvda.org/asset/0000053104.mp3
artizàn,artisan,artigiano,https://www.patoisvda.org/asset/0000053108.mp3
asfalto,asphalte,asfalto,https://www.patoisvda.org/asset/0000058016.mp3
aspirateur,aspirateur,aspirapolvere,https://www.patoisvda.org/asset/0000053118.mp3
assàn,accent,accento,https://www.patoisvda.org/asset/0000052812.mp3
assidàn,accident,incidente,https://www.patoisvda.org/asset/0000052816.mp3
assietta,assiette (plat),piatto (stoviglia),https://www.patoisvda.org/asset/0000053120.mp3
ate,haut,alto,https://www.patoisvda.org/asset/0000058226.mp3
ate,grand,alto,https://www.patoisvda.org/asset/0000058315.mp3
atenchón,attention,attenzione,https://www.patoisvda.org/asset/0000053124.mp3
atsaou,hauteur,altezza,https://www.patoisvda.org/asset/0000055760.mp3
atsetà (atseté),acheté (acheter),comprato (comprare),https://www.patoisvda.org/asset/0000065404.mp3
atseté,acheter,comprare,https://www.patoisvda.org/asset/0000065402.mp3
atteur,acteur,attore,https://www.patoisvda.org/asset/0000052821.mp3
attivitoù,activité,attività,https://www.patoisvda.org/asset/0000052837.mp3
avantadzo,avantage,vantaggio,https://www.patoisvda.org/asset/0000053142.mp3
avèi,avoir,avere,https://www.patoisvda.org/asset/0000065431.mp3
avèitchà (avèitché),regardé (regarder),guardato (guardare),https://www.patoisvda.org/asset/0000065979.mp3
avèitché,regarder,guardare,https://www.patoisvda.org/asset/0000065977.mp3
averbe,adverbe,avverbio,https://www.patoisvda.org/asset/0000052853.mp3
aveuille,abeille,ape,https://www.patoisvda.org/asset/0000090170.mp3
avin-ì,avenir,futuro,https://www.patoisvda.org/asset/0000053144.mp3
avión,avion,aeroplano,https://www.patoisvda.org/asset/0000053146.mp3
avis,avis,avviso,https://www.patoisvda.org/asset/0000053148.mp3
avis,avis,opinione (parere),https://www.patoisvda.org/asset/0000053150.mp3
avocat,avocat,avvocato,https://www.patoisvda.org/asset/0000053152.mp3
bagadzo,bagage,bagaglio,https://www.patoisvda.org/asset/0000053342.mp3
bagga,chose,cosa,https://www.patoisvda.org/asset/0000054618.mp3
bagga,objet,oggetto,https://www.patoisvda.org/asset/0000056620.mp3
bagnet,sauce,sugo,https://www.patoisvda.org/asset/0000057568.mp3
baillà (baillé),donné (donner),dato (dare),https://www.patoisvda.org/asset/0000065637.mp3
baillé,donner,dare,https://www.patoisvda.org/asset/0000065635.mp3
baillo,bâillement,sbadiglio,https://www.patoisvda.org/asset/0000053349.mp3
balcón,volet,imposta,https://www.patoisvda.org/asset/0000058010.mp3
baléna,baleine,balena,https://www.patoisvda.org/asset/0000053365.mp3
ballafeuille,belle-fille,nuora,https://www.patoisvda.org/asset/0000053523.mp3
ballamére,belle-mère,suocera,https://www.patoisvda.org/asset/0000053527.mp3
ballaséraou,belle-sœur,cognata,https://www.patoisvda.org/asset/0000090181.mp3
ballón,balle,palla,https://www.patoisvda.org/asset/0000053374.mp3
ballón,ballon,pallone,https://www.patoisvda.org/asset/0000053376.mp3
ballón,foot,calcio,https://www.patoisvda.org/asset/0000055618.mp3
ban,banc,banco,https://www.patoisvda.org/asset/0000053380.mp3
banana,banane,banana,https://www.patoisvda.org/asset/0000053378.mp3
banca,banque,banca,https://www.patoisvda.org/asset/0000053386.mp3
bantse,banc,panca,https://www.patoisvda.org/asset/0000053382.mp3
baou,étable,stalla,https://www.patoisvda.org/asset/0000055489.mp3
baoudzà (baoudzé),bougé (bouger),mosso (muovere),https://www.patoisvda.org/asset/0000065446.mp3
baoudzé,bouger,muovere,https://www.patoisvda.org/asset/0000065444.mp3
barba,barbe,barba,https://www.patoisvda.org/asset/0000053390.mp3
barbouta,épouvantail,spaventapasseri,https://www.patoisvda.org/asset/0000055465.mp3
barca,barque,barca,https://www.patoisvda.org/asset/0000053393.mp3
base,bas,basso,https://www.patoisvda.org/asset/0000058231.mp3
batèimo,baptême,battesimo,https://www.patoisvda.org/asset/0000053388.mp3
batì,bâtir,costruire,https://www.patoisvda.org/asset/0000065438.mp3
batì (batì),bâti (bâtir),costruito (costruire),https://www.patoisvda.org/asset/0000065440.mp3
batize,bâtiment,edificio,https://www.patoisvda.org/asset/0000053399.mp3
bató,bâteau,nave,https://www.patoisvda.org/asset/0000053396.mp3
batón,bâton,bastone,https://www.patoisvda.org/asset/0000053403.mp3
bèichà (bèiché),baissé (baisser),abbassato (abbassare),https://www.patoisvda.org/asset/0000065437.mp3
bèiché,baisser,abbassare,https://www.patoisvda.org/asset/0000065436.mp3
beillet,billet,biglietto,https://www.patoisvda.org/asset/0000090182.mp3
bèire,boire,bere,https://www.patoisvda.org/asset/0000065441.mp3
ben,bain,bagno,https://www.patoisvda.org/asset/0000053351.mp3
bendadzo,bande,benda (fascia),https://www.patoisvda.org/asset/0000053384.mp3
bén-icllo,lunettes,occhiali,https://www.patoisvda.org/asset/0000055953.mp3
benzina,essence,benzina,https://www.patoisvda.org/asset/0000055486.mp3
bèque,bec,becco,https://www.patoisvda.org/asset/0000053511.mp3
béra,bonnet,berretto,https://www.patoisvda.org/asset/0000053672.mp3
berdjì,berger (gardien de vaches),pastore,https://www.patoisvda.org/asset/0000053550.mp3
berioula,toupie,trottola,https://www.patoisvda.org/asset/0000057836.mp3
beseclletta,vélo,bicicletta,https://www.patoisvda.org/asset/0000057932.mp3
bessón,jumeau,gemello,https://www.patoisvda.org/asset/0000090238.mp3
betchì,boucher,macellaio,https://www.patoisvda.org/asset/0000053690.mp3
betserì,boucherie,macelleria,https://www.patoisvda.org/asset/0000053692.mp3
beur,laid,brutto,https://www.patoisvda.org/asset/0000058246.mp3
beur sondzo,cauchemar,incubo,https://www.patoisvda.org/asset/0000090205.mp3
bagadzo,bagage,bagaglio,https://www.patoisvda.org/asset/0000053342.mp3
bagga,chose,cosa,https://www.patoisvda.org/asset/0000054618.mp3
bagga,objet,oggetto,https://www.patoisvda.org/asset/0000056620.mp3
bagnet,sauce,sugo,https://www.patoisvda.org/asset/0000057568.mp3
baillà (baillé),donné (donner),dato (dare),https://www.patoisvda.org/asset/0000065637.mp3
baillé,donner,dare,https://www.patoisvda.org/asset/0000065635.mp3
baillo,bâillement,sbadiglio,https://www.patoisvda.org/asset/0000053349.mp3
balcón,volet,imposta,https://www.patoisvda.org/asset/0000058010.mp3
baléna,baleine,balena,https://www.patoisvda.org/asset/0000053365.mp3
ballafeuille,belle-fille,nuora,https://www.patoisvda.org/asset/0000053523.mp3
ballamére,belle-mère,suocera,https://www.patoisvda.org/asset/0000053527.mp3
ballaséraou,belle-sœur,cognata,https://www.patoisvda.org/asset/0000090181.mp3
ballón,balle,palla,https://www.patoisvda.org/asset/0000053374.mp3
ballón,ballon,pallone,https://www.patoisvda.org/asset/0000053376.mp3
ballón,foot,calcio,https://www.patoisvda.org/asset/0000055618.mp3
ban,banc,banco,https://www.patoisvda.org/asset/0000053380.mp3
banana,banane,banana,https://www.patoisvda.org/asset/0000053378.mp3
banca,banque,banca,https://www.patoisvda.org/asset/0000053386.mp3
bantse,banc,panca,https://www.patoisvda.org/asset/0000053382.mp3
baou,étable,stalla,https://www.patoisvda.org/asset/0000055489.mp3
baoudzà (baoudzé),bougé (bouger),mosso (muovere),https://www.patoisvda.org/asset/0000065446.mp3
baoudzé,bouger,muovere,https://www.patoisvda.org/asset/0000065444.mp3
barba,barbe,barba,https://www.patoisvda.org/asset/0000053390.mp3
barbouta,épouvantail,spaventapasseri,https://www.patoisvda.org/asset/0000055465.mp3
barca,barque,barca,https://www.patoisvda.org/asset/0000053393.mp3
base,bas,basso,https://www.patoisvda.org/asset/0000058231.mp3
batèimo,baptême,battesimo,https://www.patoisvda.org/asset/0000053388.mp3
batì,bâtir,costruire,https://www.patoisvda.org/asset/0000065438.mp3
batì (batì),bâti (bâtir),costruito (costruire),https://www.patoisvda.org/asset/0000065440.mp3
batize,bâtiment,edificio,https://www.patoisvda.org/asset/0000053399.mp3
bató,bâteau,nave,https://www.patoisvda.org/asset/0000053396.mp3
batón,bâton,bastone,https://www.patoisvda.org/asset/0000053403.mp3
bèichà (bèiché),baissé (baisser),abbassato (abbassare),https://www.patoisvda.org/asset/0000065437.mp3
bèiché,baisser,abbassare,https://www.patoisvda.org/asset/0000065436.mp3
beillet,billet,biglietto,https://www.patoisvda.org/asset/0000090182.mp3
bèire,boire,bere,https://www.patoisvda.org/asset/0000065441.mp3
ben,bain,bagno,https://www.patoisvda.org/asset/0000053351.mp3
bendadzo,bande,benda (fascia),https://www.patoisvda.org/asset/0000053384.mp3
bén-icllo,lunettes,occhiali,https://www.patoisvda.org/asset/0000055953.mp3
benzina,essence,benzina,https://www.patoisvda.org/asset/0000055486.mp3
bèque,bec,becco,https://www.patoisvda.org/asset/0000053511.mp3
béra,bonnet,berretto,https://www.patoisvda.org/asset/0000053672.mp3
berdjì,berger (gardien de vaches),pastore,https://www.patoisvda.org/asset/0000053550.mp3
berioula,toupie,trottola,https://www.patoisvda.org/asset/0000057836.mp3
beseclletta,vélo,bicicletta,https://www.patoisvda.org/asset/0000057932.mp3
bessón,jumeau,gemello,https://www.patoisvda.org/asset/0000090238.mp3
betchì,boucher,macellaio,https://www.patoisvda.org/asset/0000053690.mp3
betserì,boucherie,macelleria,https://www.patoisvda.org/asset/0000053692.mp3
beur,laid,brutto,https://www.patoisvda.org/asset/0000058246.mp3
beur sondzo,cauchemar,incubo,https://www.patoisvda.org/asset/0000090205.mp3
beurio,pierre,pietra,https://www.patoisvda.org/asset/0000056984.mp3
beurlà (beurlé),brûlé (brûler),bruciato (bruciare),https://www.patoisvda.org/asset/0000065449.mp3
beurlé,brûler,bruciare,https://www.patoisvda.org/asset/0000065447.mp3
beuro,beurre,burro,https://www.patoisvda.org/asset/0000053558.mp3
beuttà (beutté),mis (mettre),messso (mettere),https://www.patoisvda.org/asset/0000065793.mp3
beutté,mettre,mettere,https://www.patoisvda.org/asset/0000065791.mp3
bibliotèque,bibliothèque,biblioteca,https://www.patoisvda.org/asset/0000053560.mp3
bidón,poubelle,pattumiera,https://www.patoisvda.org/asset/0000057168.mp3
bilàn,bilan,bilancio,https://www.patoisvda.org/asset/0000053576.mp3
bioula,bouleau,betulla,https://www.patoisvda.org/asset/0000053702.mp3
biscouì,biscuit,biscotto,https://www.patoisvda.org/asset/0000053584.mp3
bistecca,bifteck,bistecca,https://www.patoisvda.org/asset/0000053572.mp3
bitche,animal,animale,https://www.patoisvda.org/asset/0000090243.mp3
bitche,bête,bestia,https://www.patoisvda.org/asset/0000053554.mp3
biye,bière,birra,https://www.patoisvda.org/asset/0000053564.mp3
blan,blanc,bianco,https://www.patoisvda.org/asset/0000058639.mp3
blesseura,blessure,ferita,https://www.patoisvda.org/asset/0000053594.mp3
blette,mouillé,bagnato,https://www.patoisvda.org/asset/0000058412.mp3
blettì,mouiller,bagnare,https://www.patoisvda.org/asset/0000065803.mp3
blettì (blettì),mouillé (mouiller),bagnato (bagnare),https://www.patoisvda.org/asset/0000065805.mp3
bleu,bleu,blu,https://www.patoisvda.org/asset/0000058609.mp3
bleu chiel,bleu clair,azzurro,https://www.patoisvda.org/asset/0000058634.mp3
bocón,morceau,pezzo,https://www.patoisvda.org/asset/0000056380.mp3
bofis,beau-fils (gendre),genero,https://www.patoisvda.org/asset/0000053407.mp3
bofrére,beau-frère,cognato,https://www.patoisvda.org/asset/0000053502.mp3
bolosse,bosse,bernoccolo,https://www.patoisvda.org/asset/0000053678.mp3
bómbola,bouteille,bombola,https://www.patoisvda.org/asset/0000053710.mp3
bombón,bonbon,caramella,https://www.patoisvda.org/asset/0000053666.mp3
bon,bon,buono,https://www.patoisvda.org/asset/0000058407.mp3
bonet,bonnet,berretto,https://www.patoisvda.org/asset/0000053670.mp3
boneur,bonheur,felicità,https://www.patoisvda.org/asset/0000053668.mp3
bopére,beau-père,suocero,https://www.patoisvda.org/asset/0000053504.mp3
boque,bouquetin,stambecco,https://www.patoisvda.org/asset/0000053706.mp3
bor,bourg,borgo,https://www.patoisvda.org/asset/0000053708.mp3
bor,bord,bordo,https://www.patoisvda.org/asset/0000053676.mp3
borna,trou,buco,https://www.patoisvda.org/asset/0000057880.mp3
bosquet,bouquet,mazzo,https://www.patoisvda.org/asset/0000053704.mp3
bosse,tonneau,botte,https://www.patoisvda.org/asset/0000057819.mp3
botcha,sphère,sfera,https://www.patoisvda.org/asset/0000090298.mp3
botèille,cruche,caraffa,https://www.patoisvda.org/asset/0000090211.mp3
botèille,bouteille,bottiglia,https://www.patoisvda.org/asset/0000053712.mp3
botse,bouche,bocca,https://www.patoisvda.org/asset/0000053686.mp3
botta,chaussure,scarpa,https://www.patoisvda.org/asset/0000054572.mp3
botte,crapaud,rospo,https://www.patoisvda.org/asset/0000054815.mp3
bou,bœuf,bue,https://www.patoisvda.org/asset/0000053596.mp3
bou,taureau,toro,https://www.patoisvda.org/asset/0000057752.mp3
boudeun,boudin,sanguinaccio,https://www.patoisvda.org/asset/0000053694.mp3
bouèissón,buisson,cespuglio,https://www.patoisvda.org/asset/0000053960.mp3
boueuille,lavoir,lavatoio,https://www.patoisvda.org/asset/0000090245.mp3
boueuille,fontaine,fontana,https://www.patoisvda.org/asset/0000055614.mp3
cabaré,plateau,vassoio,https://www.patoisvda.org/asset/0000057053.mp3
cacaouetta,cacahuète,arachide,https://www.patoisvda.org/asset/0000053980.mp3
cachoula,casserole,pentola,https://www.patoisvda.org/asset/0000090203.mp3
cadó,cadeau,regalo,https://www.patoisvda.org/asset/0000053984.mp3
cadro,tableau,quadro,https://www.patoisvda.org/asset/0000057728.mp3
cafetchire,cafetière,caffettiera,https://www.patoisvda.org/asset/0000053992.mp3
cafì,café,caffè,https://www.patoisvda.org/asset/0000053988.mp3
cagne,mensonge,bugia,https://www.patoisvda.org/asset/0000056077.mp3
caillà (caillé),jeté (jeter),gettato (gettare),https://www.patoisvda.org/asset/0000065736.mp3
caillé,jeter,gettare,https://www.patoisvda.org/asset/0000065734.mp3
calandriyì,calendrier,calendario,https://www.patoisvda.org/asset/0000054016.mp3
calesón,culotte (caleçon),mutande,https://www.patoisvda.org/asset/0000054876.mp3
caletà,qualité,qualità,https://www.patoisvda.org/asset/0000057319.mp3
calmo,calme,calmo,https://www.patoisvda.org/asset/0000058546.mp3
camion,camion,camion,https://www.patoisvda.org/asset/0000054024.mp3
campagnar,paysan,contadino,https://www.patoisvda.org/asset/0000056869.mp3
campagne,campagne,campagna,https://www.patoisvda.org/asset/0000054028.mp3
canal,canal,canale,https://www.patoisvda.org/asset/0000054054.mp3
canal d'arrozadzo,canal d'irrigation,canale irriguo,https://www.patoisvda.org/asset/0000090199.mp3
canquetà,quantité,quantità,https://www.patoisvda.org/asset/0000057322.mp3
cantin-a,bistrot,bar,https://www.patoisvda.org/asset/0000053586.mp3
caoutì,couteau,coltello,https://www.patoisvda.org/asset/0000054802.mp3
capablo,capable,capace,https://www.patoisvda.org/asset/0000058561.mp3
capetseun,moine,monaco,https://www.patoisvda.org/asset/0000056257.mp3
cappe,chef,capo,https://www.patoisvda.org/asset/0000054574.mp3
caprise,caprice,capriccio,https://www.patoisvda.org/asset/0000054064.mp3
carabignì,carabinier (gendarme),carabiniere,https://www.patoisvda.org/asset/0000054069.mp3
caratéro,caractère,carattere,https://www.patoisvda.org/asset/0000054073.mp3
caresse,caresse,carezza,https://www.patoisvda.org/asset/0000054077.mp3
carèya,chaise,sedia,https://www.patoisvda.org/asset/0000054351.mp3
carmo,calme,calma,https://www.patoisvda.org/asset/0000054022.mp3
carnaval,carnaval,carnevale,https://www.patoisvda.org/asset/0000054080.mp3
caro,parking,parcheggio,https://www.patoisvda.org/asset/0000056836.mp3
caro,place,posto,https://www.patoisvda.org/asset/0000057014.mp3
caro,espace,spazio,https://www.patoisvda.org/asset/0000055475.mp3
carón,carré,quadrato,https://www.patoisvda.org/asset/0000054084.mp3
cartella,cartable,cartella,https://www.patoisvda.org/asset/0000054087.mp3
cartón,carton,cartone,https://www.patoisvda.org/asset/0000054254.mp3
cartón animà,dessin animé,cartone animato,https://www.patoisvda.org/asset/0000055016.mp3
cartsé,quartier,quartiere,https://www.patoisvda.org/asset/0000057325.mp3
casque,casque,casco,https://www.patoisvda.org/asset/0000054258.mp3
casseun,hématome,ematoma,https://www.patoisvda.org/asset/0000055762.mp3
catavaoula,coccinelle,coccinella,https://www.patoisvda.org/asset/0000054707.mp3
catsà (catsé),caché (cacher),nascosto (nascondere),https://www.patoisvda.org/asset/0000065452.mp3
catsé,cacher,nascondere,https://www.patoisvda.org/asset/0000065450.mp3
cayeur,cahier,quaderno,https://www.patoisvda.org/asset/0000054000.mp3
chanse,chance,fortuna,https://www.patoisvda.org/asset/0000054406.mp3
chaou,sueur,sudore,https://www.patoisvda.org/asset/0000057716.mp3
chédre,choisir,scegliere,https://www.patoisvda.org/asset/0000065551.mp3
chensa,science,scienza,https://www.patoisvda.org/asset/0000057587.mp3
cabaré,plateau,vassoio,https://www.patoisvda.org/asset/0000057053.mp3
cacaouetta,cacahuète,arachide,https://www.patoisvda.org/asset/0000053980.mp3
cachoula,casserole,pentola,https://www.patoisvda.org/asset/0000090203.mp3
cadó,cadeau,regalo,https://www.patoisvda.org/asset/0000053984.mp3
cadro,tableau,quadro,https://www.patoisvda.org/asset/0000057728.mp3
cafetchire,cafetière,caffettiera,https://www.patoisvda.org/asset/0000053992.mp3
cafì,café,caffè,https://www.patoisvda.org/asset/0000053988.mp3
cagne,mensonge,bugia,https://www.patoisvda.org/asset/0000056077.mp3
caillà (caillé),jeté (jeter),gettato (gettare),https://www.patoisvda.org/asset/0000065736.mp3
caillé,jeter,gettare,https://www.patoisvda.org/asset/0000065734.mp3
calandriyì,calendrier,calendario,https://www.patoisvda.org/asset/0000054016.mp3
calesón,culotte (caleçon),mutande,https://www.patoisvda.org/asset/0000054876.mp3
caletà,qualité,qualità,https://www.patoisvda.org/asset/0000057319.mp3
calmo,calme,calmo,https://www.patoisvda.org/asset/0000058546.mp3
camion,camion,camion,https://www.patoisvda.org/asset/0000054024.mp3
campagnar,paysan,contadino,https://www.patoisvda.org/asset/0000056869.mp3
campagne,campagne,campagna,https://www.patoisvda.org/asset/0000054028.mp3
canal,canal,canale,https://www.patoisvda.org/asset/0000054054.mp3
